BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
15573	6092572	15573	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)	85	72	Dark Bluish Gray	Solid Colors	3	0.3
18588	6100488	18588	Minifig, Weapon Rapid Shooter Six Barrel	85	72	Dark Bluish Gray	Solid Colors	1	2.8
20482	6186675	20482	Tile, Round 1 x 1 with Pin	11	0	Black	Solid Colors	1	0.16
23443	6143318	23443	Bar Holder with Handle	11	0	Black	Solid Colors	1	0.28
2431	4211053	2431	Tile 1 x 4	85	72	Dark Bluish Gray	Solid Colors	2	0.54
2431	4211356	2431	Tile 1 x 4	86	71	Light Bluish Gray	Solid Colors	2	0.54
26047	6157554	26047	Plate, Modified 1 x 1 Rounded with Handle	11	0	Black	Solid Colors	1	0.3
3004	300426	3004	Brick 1 x 2	11	0	Black	Solid Colors	2	0.8
3005	300526	3005	Brick 1 x 1	11	0	Black	Solid Colors	2	0.44
3005	4211098	3005	Brick 1 x 1	85	72	Dark Bluish Gray	Solid Colors	3	0.44
3023	302301	3023	Plate 1 x 2	1	15	White	Solid Colors	2	0.36
3023	4211063	3023	Plate 1 x 2	85	72	Dark Bluish Gray	Solid Colors	3	0.36
3023	302326	3023	Plate 1 x 2	11	0	Black	Solid Colors	3	0.36
3024	302401	3024	Plate 1 x 1	1	15	White	Solid Colors	2	0.2
3024	4524929	3024	Plate 1 x 1	4	25	Orange	Solid Colors	1	0.2
3024	4210719	3024	Plate 1 x 1	85	72	Dark Bluish Gray	Solid Colors	4	0.2
3024	4539114	3024	Plate 1 x 1	59	320	Dark Red	Solid Colors	2	0.2
3024	302426	3024	Plate 1 x 1	11	0	Black	Solid Colors	2	0.2
3069b	4211052	3069b	Tile 1 x 2 with Groove	85	72	Dark Bluish Gray	Solid Colors	5	0.26
3070b	6254252	3070b	Tile 1 x 1 with Groove	98	57	Trans-Orange	Transparent Colors	1	0.146
3070b	307026	3070b	Tile 1 x 1 with Groove	11	0	Black	Solid Colors	1	0.16
3070b	4210848	3070b	Tile 1 x 1 with Groove	85	72	Dark Bluish Gray	Solid Colors	5	0.16
3176	4568753	3176	Plate, Modified 3 x 2 with Hole	59	320	Dark Red	Solid Colors	1	0.8
32828	6196548	32828	Bar 1L with 1 x 1 Round Plate with Hollow Stud	11	0	Black	Solid Colors	1	0.16
3666	4211056	3666	Plate 1 x 6	85	72	Dark Bluish Gray	Solid Colors	1	1.06
3710	4211001	3710	Plate 1 x 4	85	72	Dark Bluish Gray	Solid Colors	1	0.71
4070	4211044	4070	Brick, Modified 1 x 1 with Headlight	85	72	Dark Bluish Gray	Solid Colors	4	0.36
4185	4494222	4185	Technic Wedge Belt Wheel (Pulley)	86	71	Light Bluish Gray	Solid Colors	2	0.97
4274	4274194	4274	Technic, Pin 1/2	86	71	Light Bluish Gray	Solid Colors	1	0.095
4519	6238084	4519	Technic, Axle 3	11	0	Black	Solid Colors	1	0
4733	4210700	4733	Brick, Modified 1 x 1 with Studs on 4 Sides	85	72	Dark Bluish Gray	Solid Colors	4	0.45
47905	4213574	47905	Brick, Modified 1 x 1 with Studs on 2 Sides	85	72	Dark Bluish Gray	Solid Colors	8	0.45
48336	4259941	48336	Plate, Modified 1 x 2 with Handle on Side - Closed Ends	59	320	Dark Red	Solid Colors	2	0.54
48729	4289538	48729	Bar   1L with Clip Mechanical Claw	11	0	Black	Solid Colors	2	0.17
48729	4289542	48729	Bar   1L with Clip Mechanical Claw	85	72	Dark Bluish Gray	Solid Colors	2	0.17
49668	4273590	49668	Plate, Modified 1 x 1 with Tooth Horizontal	11	0	Black	Solid Colors	4	0.253
50950	4246896	50950	Slope, Curved 3 x 1 No Studs	85	72	Dark Bluish Gray	Solid Colors	1	0.75
54200	4504378	54200	Slope 30 1 x 1 x 2/3	85	72	Dark Bluish Gray	Solid Colors	2	0.21
54200	4504382	54200	Slope 30 1 x 1 x 2/3	11	0	Black	Solid Colors	3	0.21
60478	4515368	60478	Plate, Modified 1 x 2 with Handle on End - Closed Ends	11	0	Black	Solid Colors	1	0.55
63864	4568734	63864	Tile 1 x 3	85	72	Dark Bluish Gray	Solid Colors	1	0.39
6541	654126	6541	Technic, Brick 1 x 1 with Hole	11	0	Black	Solid Colors	1	0.38
6541	4210639	6541	Technic, Brick 1 x 1 with Hole	85	72	Dark Bluish Gray	Solid Colors	1	0.38
98313	6276867	98313	Arm Mechanical, Exo-Force / Bionicle, Thick Support	11	0	Black	Solid Colors	1	0.4
98313	6006738	98313	Arm Mechanical, Exo-Force / Bionicle, Thick Support	59	320	Dark Red	Solid Colors	2	0.4
85861	6168646	85861	Plate, Round 1 x 1 with Open Stud	11	0	Black	Solid Colors	1	0.1
85975	6203937	85975	Cone 1 1/6 x 1 1/6 x 2/3 (Fez)	11	0	Black	Solid Colors	1	0.29
92593	4598769	92593	Plate, Modified 1 x 4 with 2 Studs	85	72	Dark Bluish Gray	Solid Colors	2	0.61
									
Total qty	Total Weight								
100	38.573								
